sku,title,description,brand,product_type,gender,age_group,occasion,url_key,categories,created_at,updated_at,variant_count,product_ids,size,color,price,stock_status
25921001,Esme Frill Bustier,,,simple,,,,,,2019-08-20,2023-10-26,7,"186462,186465,186468,186471,186474,186477,186480","04,06,08,10,12,14,16",golden floral print,89.99,
25921002,Esme Button Down Bustier,,,simple,,,,,,2019-09-12,2023-10-26,7,"248181,248187,248193,248202,248205,248220,248229","04,06,08,10,12,14,16",spring fling floral,89.99,
25921201,Helena Power Suit Cigarette Pants,,,simple,,,,,,2019-07-29,2023-10-26,7,"183452,183455,183458,183461,183464,183467,183470","04,06,08,10,12,14,16","black,black.",89.99,
25921202,Helena Power Suit Cigarette Pants,,,simple,,,,,,2019-07-29,2023-10-26,7,"183497,183500,183503,183506,183509,183512,183515","04,06,08,10,12,14,16",blush,89.99,
25921501,Tessa Twist Front Blouse,,,simple,,,,,,2019-06-03,2023-10-26,7,"174676,174679,174682,174685,174688,174691,174694","04,06,08,10,12,14,16",emerald bloom,79.99,
25921502,Tessa Twist Front Blouse,,,simple,,,,,,2019-05-16,2023-10-26,7,"171446,171449,171452,171455,171458,171461,171464","04,06,08,10,12,14,16",black,79.99,
25921504,Tessa Twist Front Blouse,,,simple,,,,,,2019-07-29,2023-10-26,7,"183596,183599,183602,183605,183608,183611,183614","04,06,08,10,12,14,16",chalky floral,89.99,
25921601,Zoe Slit Tank Top,,,simple,,,,,,2019-09-03,2023-10-26,7,"231093,231096,231099,231102,231105,231108,231111","04,06,08,10,12,14,16",navy,59.99,
25921801,Selma U-Bar Long-Sleeved Bodysuit,,,simple,,,,,,2019-04-30,2023-10-26,6,"169238,169241,169244,169247,169250,169253","l,m,s,xl,xs,xxs",black,59.99,
25921902,Evie Petite Long-Sleeved Dress,,,simple,,,,,,2019-03-18,2023-10-26,7,"160961,160964,160967,160970,160973,160976,160979","04,06,08,10,12,14,16",khaki,119.99,
25922301,Tamika Slim Tie Neck Blouse,,,simple,,,,,,2019-06-03,2023-10-26,7,"174697,174700,174703,174706,174709,174712,174715","04,06,08,10,12,14,16",porcelain,89.99,
